EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,Label
20090120000512140,2009-01-20T00:05:12.144000Z,-83.861175,-78.173363,1.46,3.729,4.282,-83.85965,-78.174248,1.2144,0.0822,0.1421,0.9492,0.3909,0.745,0.3911,0.4848,3.302,2.817,3.302,0
20090120000538936,2009-01-20T00:05:38.888000Z,-83.924992,-78.187382,1.855,4.93,5.763,-83.925486,-78.187125,1.9448,0.093,0.1191,0.3491,1.0168,3.0964,0.313,0.9951,3.869,3.209,3.869,0
20090120000539200,2009-01-20T00:05:39.228000Z,-83.805102,-78.164706,1.76,9.688,11.44,-83.804061,-78.164495,1.7875,0.2349,0.0966,0.0886,0.0391,0.058,0.0879,0.0584,5.278,4.348,5.278,1
20090120000545752,2009-01-20T00:05:45.800000Z,-83.868243,-78.144344,1.97,3.816,4.428,-83.867042,-78.144142,1.9881,0.0079,0.0291,0.0222,0.6636,0.7032,0.3274,0.5346,3.187,2.678,3.187,1
20090120000549384,2009-01-20T00:05:49.412000Z,-83.980743,-78.184684,1.86,6.356,7.26,-83.982703,-78.184528,1.91,0.2398,0.1041,0.0846,0.4227,0.265,0.1064,0.2284,4.036,3.414,4.036,1
20090120000552256,2009-01-20T00:05:52.284000Z,-83.822022,-78.147514,1.97,10.55,12.3,-83.821641,-78.147105,1.983,0.182,0.1055,0.0697,0.0424,0.0599,0.0446,0.0484,4.948,4.118,4.948,1
20090120000555924,2009-01-20T00:05:55.916000Z,-83.879546,-78.160959,1.89,4.273,5.015,-83.880962,-78.160554,1.9257,0.3426,0.0913,0.0838,0.4919,2.1018,0.2236,0.6138,3.063,2.553,3.063,1
20090120000606456,2009-01-20T00:06:06.492000Z,-84.013346,-78.14083,1.955,5.331,6.218,-84.014397,-78.140724,1.9359,0.1658,0.0936,0.0659,0.0416,0.066,0.0443,0.0496,3.387,2.806,3.387,1
20090120000607504,2009-01-20T00:06:07.500000Z,-84.026892,-78.165187,1.955,6.111,7.192,-84.028228,-78.165128,1.9042,0.0623,0.1504,0.1639,0.0756,0.0926,0.0477,0.0694,4.032,3.328,4.032,1
20090120000612764,2009-01-20T00:06:12.788000Z,-84.002103,-78.176572,1.92,8.939,10.08,-84.003239,-78.176112,1.9482,0.0706,0.1202,0.2136,0.0432,0.0625,0.0572,0.0537,4.925,4.253,4.925,1
20090120000617588,2009-01-20T00:06:17.568000Z,-84.019647,-78.13908,2.02,15.51,18.06,-84.018748,-78.139644,2.0131,0.1584,0.0928,0.0743,0.0392,0.0533,0.0414,0.0442,5.709,4.728,5.709,1
20090120000623132,2009-01-20T00:06:23.172000Z,-83.858307,-78.118815,2.035,6.695,7.858,-83.858562,-78.118769,2.0145,0.1455,0.2078,0.0713,0.0534,0.0934,0.0543,0.0647,4.278,3.509,4.278,1
20090120000629448,2009-01-20T00:06:29.464000Z,-83.806195,-78.164528,1.755,9.376,10.77,-83.80597,-78.164499,1.7406,0.2107,0.098,0.0892,0.0474,0.0546,0.0847,0.0603,5.028,4.263,5.028,1
20090120000639204,2009-01-20T00:06:39.220000Z,-83.725369,-78.168565,2.1,4.191,4.678,-83.727073,-78.168362,2.0805,0.0124,0.0333,0.0338,0.1285,0.1581,0.34,0.1905,3.018,2.559,3.018,0
20090120000639756,2009-01-20T00:06:39.792000Z,-83.763234,-78.160883,1.85,50.94,58.16,-83.764327,-78.160326,1.9296,0.0124,0.0313,0.0333,0.0314,0.0437,0.0622,0.044,7.892,6.502,7.892,1
20090120000641988,2009-01-20T00:06:42.004000Z,-83.980088,-78.184774,1.85,8.722,10.03,-83.981368,-78.184806,1.8789,0.0728,0.1045,0.2428,0.0426,0.0719,0.1011,0.0677,4.78,4.055,4.78,1
20090120000644816,2009-01-20T00:06:44.812000Z,-83.916406,-78.146136,2.16,3.967,4.51,-83.91552,-78.146531,2.1384,0.0748,0.1666,0.2923,0.2349,0.3165,0.1048,0.1982,3.083,2.622,3.083,1
20090120000645800,2009-01-20T00:06:45.812000Z,-83.96659,-78.116616,1.295,4.934,5.841,-83.966973,-78.116277,1.2584,0.0716,0.1142,0.1575,0.8006,2.2839,0.3864,0.8907,3.88,3.188,3.88,0
20090120000649400,2009-01-20T00:06:49.424000Z,-83.973751,-78.149889,1.98,5.964,6.84,-83.973425,-78.150104,1.9659,0.1744,0.0946,0.0783,0.0471,0.064,0.0458,0.0517,3.746,3.169,3.746,1
20090120000653644,2009-01-20T00:06:53.596000Z,-83.938988,-78.186932,1.8,4.578,5.185,-83.939344,-78.187119,1.8208,0.0822,0.1169,0.46,0.1015,0.1656,0.2991,0.1713,3.563,3.069,3.563,1
20090120000655936,2009-01-20T00:06:55.980000Z,-83.869113,-78.144747,1.93,4.344,4.915,-83.868553,-78.144424,1.9457,0.0588,0.1109,0.1771,0.0694,0.1159,0.0527,0.0752,3.103,2.667,3.103,1
20090120000658040,2009-01-20T00:06:58.064000Z,-83.924773,-78.187471,1.86,6.159,6.939,-83.925096,-78.187263,1.842,0.3271,0.1043,0.0901,0.0532,0.0978,0.1815,0.0981,3.884,3.346,3.884,1
20090120000704528,2009-01-20T00:07:04.476000Z,-83.818939,-78.119792,1.325,5.325,6.23,-83.821302,-78.119681,1.3434,0.0705,0.1886,0.2584,0.5903,2.2348,0.3825,0.7961,3.983,3.295,3.983,0
20090120000717940,2009-01-20T00:07:17.948000Z,-83.863885,-78.143895,2,4.883,5.595,-83.864899,-78.143646,1.9892,0.0649,0.1607,0.195,0.0795,0.1103,0.0517,0.0768,3.119,2.648,3.119,1
20090120000721008,2009-01-20T00:07:21.008000Z,-83.802696,-78.165332,1.945,6.78,7.963,-83.803145,-78.165614,1.8887,0.0858,0.1116,0.2603,0.0431,0.0657,0.1251,0.0707,4.386,3.645,4.386,1
20090120000727816,2009-01-20T00:07:27.852000Z,-83.858744,-78.118009,2.08,4.608,5.388,-83.854622,-78.118257,2.0464,0.071,0.1557,0.2577,0.1525,0.1982,0.1677,0.1718,3.545,2.956,3.545,1
20090120000729268,2009-01-20T00:07:29.256000Z,-84.000008,-78.161211,1.965,4.229,4.785,-84.001554,-78.161143,1.9565,0.0767,0.1384,0.2074,0.0767,0.107,0.0421,0.0702,3.031,2.613,3.031,1
20090120000732164,2009-01-20T00:07:32.192000Z,-84.023841,-78.16568,2.045,5.699,6.646,-84.024609,-78.165367,2.0505,0.144,0.2075,0.0651,0.0635,0.087,0.0423,0.0616,3.48,2.883,3.48,1
20090120000733092,2009-01-20T00:07:33.128000Z,-83.980309,-78.185088,1.855,6.839,7.948,-83.979795,-78.184767,1.8637,0.0689,0.1208,0.2656,0.2469,0.8871,0.1578,0.3257,4.456,3.737,4.456,1
20090120000738876,2009-01-20T00:07:38.924000Z,-83.953696,-78.15061,1.96,17.87,21.12,-83.954607,-78.150788,1.9762,0.165,0.0724,0.0861,0.0245,0.0348,0.0372,0.0317,5.359,4.377,5.359,1
20090120000745680,2009-01-20T00:07:45.696000Z,-83.881293,-78.160333,1.8,4.29,4.944,-83.881111,-78.159898,1.7503,0.0855,0.1369,0.2877,1.8424,3.1003,0.4274,1.3466,3.232,2.715,3.232,1
20090120000746876,2009-01-20T00:07:46.912000Z,-83.873906,-78.145285,1.9,4.335,5.035,-83.870402,-78.144575,1.9343,0.0652,0.1612,0.2038,0.093,0.1315,0.0687,0.0944,3.113,2.608,3.113,1
20090120000751668,2009-01-20T00:07:51.684000Z,-83.971571,-78.149934,1.955,6.478,7.508,-83.972142,-78.15004,1.9378,0.1688,0.098,0.0749,0.0461,0.0628,0.0372,0.0476,3.872,3.248,3.872,1
20090120000752464,2009-01-20T00:07:52.476000Z,-83.938116,-78.187918,1.86,4.955,5.824,-83.937769,-78.187902,1.9341,0.0758,0.1277,0.2792,0.3231,0.2005,0.2428,0.2506,3.898,3.238,3.898,1
20090120000756508,2009-01-20T00:07:56.540000Z,-83.903115,-78.161542,1.8,9.118,10.65,-83.902712,-78.161875,1.7743,0.2525,0.0894,0.0979,0.0365,0.0572,0.0724,0.0533,4.814,4.017,4.814,1
20090120000800244,2009-01-20T00:08:00.268000Z,-84.012736,-78.168775,2.015,5.112,5.854,-84.015066,-78.168688,1.9862,0.0621,0.1506,0.1665,0.1105,0.2944,0.0642,0.1278,3.075,2.616,3.075,1
20090120000802932,2009-01-20T00:08:02.936000Z,-84.018558,-78.139126,1.955,17.07,20.25,-84.017224,-78.139706,1.9563,0.1683,0.092,0.075,0.0249,0.0499,0.0382,0.0362,6.71,5.509,6.71,1
20090120000806832,2009-01-20T00:08:06.864000Z,-83.869767,-78.144747,1.975,4.102,4.662,-83.867426,-78.144218,1.9804,0.0123,0.0315,0.0331,0.1678,0.331,0.1048,0.1799,3.137,2.698,3.137,1
20090120000808584,2009-01-20T00:08:08.612000Z,-83.805757,-78.164662,1.755,9.149,10.71,-83.806717,-78.164798,1.7618,0.2535,0.0995,0.0853,0.0396,0.0516,0.0982,0.0586,5.703,4.759,5.703,1
