EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM
20090120001102632,2009-01-20T00:11:02.656000Z,-83.762145,-78.160658,1.96,31.97,37.68,-83.76259,-78.160621,1.9246,0.0672,0.0992,0.2495,0.0364,0.0479,0.0613,0.0475,7.698,6.158,7.698
20090120001117292,2009-01-20T00:11:17.332000Z,-83.803135,-78.165019,1.795,7.588,8.795,-83.80468,-78.165036,1.7274,0.2153,0.0955,0.0865,0.0496,0.0655,0.0989,0.0685,4.604,3.89,4.604
20090120001142908,2009-01-20T00:11:42.900000Z,-83.933879,-78.159167,1.965,7.612,8.784,-83.936235,-78.158524,1.9875,0.2453,0.0766,0.0985,0.0699,0.089,0.0672,0.0748,4.669,3.929,4.669
20090120001156192,2009-01-20T00:11:56.212000Z,-83.805976,-78.164662,1.75,9.086,10.67,-83.806801,-78.164506,1.7832,0.276,0.0955,0.103,0.048,0.0735,0.1061,0.0721,5.347,4.436,5.347
20090120001202912,2009-01-20T00:12:02.940000Z,-83.954785,-78.150341,1.985,9.647,11.6,-83.955289,-78.150341,1.9774,0.1717,0.0751,0.0828,0.0387,0.0573,0.0387,0.0441,4.284,3.397,4.284
20090120001203764,2009-01-20T00:12:03.784000Z,-84.004757,-78.180288,1.39,9.655,11.79,-84.003368,-78.180396,1.3889,0.1492,0.3208,0.0615,0.0645,0.0733,0.1403,0.0872,4.843,3.799,4.843
20090120001204756,2009-01-20T00:12:04.760000Z,-84.016386,-78.139753,1.955,16.17,19.1,-84.01634,-78.139823,1.9599,0.1745,0.0893,0.0767,0.0362,0.0562,0.0489,0.0463,6.582,5.385,6.582
20090120001212468,2009-01-20T00:12:12.472000Z,-84.027697,-78.138226,1.94,10.45,11.94,-84.028373,-78.138365,1.9207,0.1914,0.1131,0.0816,0.0367,0.0508,0.0506,0.0455,5.153,4.371,5.153
20090120001252368,2009-01-20T00:12:52.384000Z,-83.98075,-78.18558,1.86,8.558,10.13,-83.980738,-78.185589,1.886,0.0829,0.1063,0.2931,0.0484,0.0813,0.1372,0.0814,5.553,4.597,5.553
20090120001302028,2009-01-20T00:13:02.052000Z,-83.971354,-78.150024,1.92,5.916,6.813,-83.971579,-78.150126,1.9038,0.0745,0.1042,0.1703,0.0458,0.061,0.0437,0.0496,3.421,2.904,3.421
20090120001317476,2009-01-20T00:13:17.508000Z,-83.763452,-78.160883,1.855,48.68,57.25,-83.76449,-78.160552,1.9248,0.2066,0.0861,0.0696,0.0311,0.0511,0.0849,0.0513,9.614,7.754,9.614
20090120001322640,2009-01-20T00:13:22.664000Z,-84.016169,-78.139888,1.965,6.632,7.613,-84.015709,-78.140359,1.9801,0.0704,0.1161,0.1623,0.0486,0.0673,0.0431,0.052,3.601,3.061,3.601
20090120001323368,2009-01-20T00:13:23.396000Z,-83.925426,-78.185949,1.745,6.413,7.381,-83.925262,-78.18533,1.7381,0.3079,0.1042,0.0912,0.0475,0.0949,0.1927,0.0954,4.223,3.594,4.223
20090120001401796,2009-01-20T00:14:01.800000Z,-84.01834,-78.13917,1.955,17.41,20.21,-84.016868,-78.139718,1.9572,0.1722,0.0902,0.0774,0.0441,0.0498,0.0358,0.0429,6.634,5.532,6.634
20090120001415376,2009-01-20T00:14:15.404000Z,-83.980087,-78.18464,1.85,7.57,8.773,-83.980105,-78.184246,1.8832,0.0677,0.1057,0.2263,0.0346,0.0621,0.0826,0.0562,4.461,3.764,4.461
20090120001431884,2009-01-20T00:14:31.900000Z,-83.953696,-78.15061,1.955,18.51,21.64,-83.955497,-78.150579,1.9746,0.1572,0.0741,0.0831,0.0318,0.0348,0.0319,0.0328,4.443,3.641,4.443
20090120001503212,2009-01-20T00:15:03.200000Z,-83.974625,-78.150157,1.955,6.326,7.213,-83.973035,-78.15041,1.9517,0.0747,0.1242,0.1891,0.0474,0.0734,0.0381,0.051,3.265,2.769,3.265
20090120001505920,2009-01-20T00:15:05.892000Z,-83.982065,-78.186028,1.995,6.886,7.789,-83.982699,-78.186085,1.9275,0.2735,0.1088,0.0859,0.0581,0.1104,0.1832,0.1055,4.304,3.661,4.304
20090120001519984,2009-01-20T00:15:19.996000Z,-83.802259,-78.165332,1.945,6.725,7.63,-83.80186,-78.165142,1.8809,0.0878,0.2927,0.1281,0.0555,0.0919,0.1128,0.0832,3.938,3.363,3.938
20090120001523496,2009-01-20T00:15:23.536000Z,-83.798593,-78.160047,1.8,11.5,13.49,-83.79874,-78.15969,1.8221,0.1877,0.0986,0.0768,0.037,0.0378,0.0625,0.0444,5.49,4.539,5.49
20090120001533880,2009-01-20T00:15:33.868000Z,-84.018341,-78.13926,1.96,13.04,15.31,-84.017024,-78.139753,1.9971,0.0768,0.1042,0.1725,0.0463,0.0585,0.0378,0.0468,5.382,4.439,5.382
20090120001546244,2009-01-20T00:15:46.268000Z,-83.762797,-78.160882,1.895,46.03,53.54,-83.763122,-78.160762,1.9147,0.0679,0.0911,0.2311,0.0332,0.0442,0.0679,0.0463,8.673,7.01,8.673
