EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,GlobalCovarianceProduct,GlobalCovarianceGeometricMean
20090120021303092,2009-01-20T02:13:03.132000Z,-84.027341,-78.166351,1.98,5.446,6.144,-84.026541,-78.165906,2.0062,0.0548,0.1365,0.1447,0.0758,0.0802,0.0483,0.0665,3.241,2.788,3.241,0.00029362342800000004,0.06646559571119777
20090120045614060,2009-01-20T04:56:14.092000Z,-84.02122,-78.165547,2.025,6.078,7.084,-84.021639,-78.165765,2.0173,0.0681,0.122,0.2,0.0569,0.0877,0.0521,0.0638,3.899,3.266,3.899,0.000259985773,0.06382387881494588
20090120084520436,2009-01-20T08:45:20.460000Z,-84.005803,-78.174913,1.985,5.026,5.833,-84.00578,-78.174733,1.9559,0.0649,0.1415,0.1973,0.7558,0.4616,0.0998,0.3265,3.536,2.974,3.536,0.034817952544000004,0.32653851221450964
20090120020643876,2009-01-20T02:06:43.864000Z,-83.881293,-78.160333,1.795,8.417,9.599,-83.882114,-78.159878,1.8098,0.078,0.2957,0.1102,0.062,0.1036,0.1142,0.0902,4.972,4.252,4.972,0.0007335294399999999,0.09018601199338457
20090120200205720,2009-01-20T20:02:05.744000Z,-83.765641,-78.160257,1.945,5.386,6.298,-83.76677,-78.160522,1.9227,0.0858,0.1356,0.3308,0.1041,0.1149,0.1779,0.1286,3.97,3.316,3.97,0.002127877911,0.12862209193673452
20090120060325672,2009-01-20T06:03:25.680000Z,-84.001878,-78.17581,1.925,5.629,6.397,-84.001883,-78.175964,1.9225,0.0718,0.1689,0.2568,0.0917,0.1164,0.1224,0.1093,3.921,3.358,3.921,0.001306482912,0.10932040818190543
20090120211006640,2009-01-20T21:10:06.652000Z,-84.012252,-78.140337,1.905,7.436,8.583,-84.010961,-78.140325,1.8965,0.1982,0.1271,0.0698,0.0487,0.0617,0.0452,0.0514,4.364,3.703,4.364,0.00013581650799999998,0.05140249348226988
20090120203120448,2009-01-20T20:31:20.484000Z,-83.951301,-78.151282,1.935,5.606,6.397,-83.952374,-78.151174,1.9397,0.2458,0.1056,0.082,0.0643,0.0867,0.0567,0.0681,3.24,2.761,3.24,0.000316091727,0.06811943593195773
20090120103444188,2009-01-20T10:34:44.208000Z,-83.935402,-78.157734,1.9,6.741,7.779,-83.934858,-78.157317,1.8592,0.0601,0.1325,0.2242,0.0555,0.0777,0.0659,0.0657,4.01,3.39,4.01,0.00028418386500000004,0.06574556654941129
20090120191151412,2009-01-20T19:11:51.436000Z,-83.977684,-78.151187,1.92,7.283,8.39,-83.977918,-78.151142,1.9082,0.0714,0.1266,0.1808,0.0696,0.0658,0.0458,0.0594,3.205,2.693,3.205,0.00020974934399999997,0.05941556122814162
20090120060614036,2009-01-20T06:06:14.068000Z,-83.902678,-78.161901,1.8,6.706,7.901,-83.902144,-78.161807,1.7921,0.2699,0.0832,0.0815,0.039,0.0589,0.0703,0.0545,4.835,3.98,4.835,0.00016148613,0.05445591699399604
20090120124720444,2009-01-20T12:47:20.440000Z,-83.935836,-78.156838,1.86,6.866,7.785,-83.935367,-78.157006,1.8556,0.2912,0.0818,0.096,0.0402,0.0996,0.0493,0.0582,3.734,3.182,3.734,0.00019739325599999995,0.05822517067622049
